objectID,userID,objectType,classification,completeness,quantity,broadperiod,periodo,rightCorner,collection,museumID,collectionIdentifier,museumCollection,site,stolenStatus,hoard,context,parish,district,country,county,toSearch,fourFigureLat,fourFigureLon,gridRef,dateDiscoveryDay,dateDiscoveryMonth,dateDiscoveryYear,length,width,edge,weight,patina,surface,thickness,other,composition,associations,description,publications,remarks,inputBy,thumbnail,imageURL,flickrURL,Processing,project
BAI-40247,433,Knife,,,,Bronze Age,p0gjgrs6qb2,,"Cyfarthfa Castle Museum,Merthyr Tydfil, P+N.72K",P+N72K,,Cyfarthfa Castle Museum,"Switzerland,from a lake dwelling",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,187,blade 19,,43,brownish green,,,,,,,,,Joellen McGann,https://farm9.staticflickr.com/8842/18156298749_013066ec97_z.jpg,https://farm9.staticflickr.com/8842/18156298749_013066ec97_b.jpg,https://www.flickr.com/photos/115096994@N02/18156298749,superuser,ForeignTools
BAI-40283,433,Pin,,,,Bronze Age,p0gjgrs6qb2,,"Horniman Museum,Forest Hill, SE,Bought from Gregory",,,Horniman Museum,"Switzerland,Swiss Lake Dwellings",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,202,of head 10,,7.08,No patina,"Smooth, golden bronze colour",3.5,,Bronze,,,,,Joellen McGann,https://farm1.staticflickr.com/529/18338495922_419cd842c1_z.jpg,https://farm1.staticflickr.com/529/18338495922_419cd842c1_b.jpg,https://www.flickr.com/photos/115096994@N02/18338495922,superuser,ForeignTools
BAI-40282,433,Pin,,,,Bronze Age,p0gjgrs6qb2,,"Horniman Museum,Forest Hill, SE,Bought from Gregory",,,Horniman Museum,"Switzerland,Swiss Lake Dwellings",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,190,width of head 7,,14.17,No patina,"Smooth, golden bronze colour",4,,Bronze,,,,,Joellen McGann,https://farm8.staticflickr.com/7790/18156294009_a869b4ece1_z.jpg,https://farm8.staticflickr.com/7790/18156294009_a869b4ece1_b.jpg,https://www.flickr.com/photos/115096994@N02/18156294009,superuser,ForeignTools
BAI-40281,433,Pin,,,,Bronze Age,p0gjgrs6qb2,,"Horniman Museum,Forest Hill, SE,Bought from Gregory",,,Horniman Museum,"Switzerland,Swiss Lake Dwellings",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,100,width of head 10,,,bight green patina on head only,"Smooth, bronze colour",3,,Bronze,,,,,Joellen McGann,https://farm1.staticflickr.com/274/18316049276_b7c43c0ff9_z.jpg,https://farm1.staticflickr.com/274/18316049276_b7c43c0ff9_b.jpg,https://www.flickr.com/photos/115096994@N02/18316049276,superuser,ForeignTools
BAI-40280,433,Pin,,,,Bronze Age,p0gjgrs6qb2,,"Horniman Museum,Forest Hill, SE,Bought from Gregory",,,Horniman Museum,"Switzerland,Swiss Lake Dwellings",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,113,width of ball top 15.5,,21.26,No patina,Smooth - golden bronze colour,3,,Bronze,,Ball shaped head,,,Joellen McGann,https://farm8.staticflickr.com/7762/18156294179_e5244be8be_z.jpg,https://farm8.staticflickr.com/7762/18156294179_e5244be8be_b.jpg,https://www.flickr.com/photos/115096994@N02/18156294179,superuser,ForeignTools
BAI-40279,433,Pin,,,,Bronze Age,p0gjgrs6qb2,,"Horniman Museum, Forest HIll, SE,Bought of Gregory",,,Horniman Museum,"Switzerland,Swiss Lake Dwellings",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,133,of head 18,,21.26,No patina.,"Smooth, head half covered with whitish earth, holes are filled with this. There is also some on stem.",3,,Bronze,,Ball shaped head with 4 holes.,,,Joellen McGann,https://farm8.staticflickr.com/7799/18156294269_27412a769c_z.jpg,https://farm8.staticflickr.com/7799/18156294269_27412a769c_b.jpg,https://www.flickr.com/photos/115096994@N02/18156294269,superuser,ForeignTools
BAI-40264,433,Fish-Hook,,,,Bronze Age,p0gjgrs6qb2,,"Horniman Museum,Forest Hill, SE,Bought from the Backhouse Collection",,,Horniman Museum,"Switzerland,Swiss Lake Dwellings",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,23,30,,,No patina,Smooth + mostly bright golden colour,about 2,,Bronze,,Well preserved. Made of squarish wire.,,,Joellen McGann,https://farm9.staticflickr.com/8853/17719870614_37566b91a6_z.jpg,https://farm9.staticflickr.com/8853/17719870614_37566b91a6_b.jpg,https://www.flickr.com/photos/115096994@N02/17719870614,superuser,ForeignTools
BAI-40263,433,Fish-Hook,,,,Bronze Age,p0gjgrs6qb2,,"Horniman Museum,Forest  HIll, SE,Bought from Backhouse Collection",,,Horniman Museum,"Switzerland,Swiss Lake Dwellings",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,57,22,,,No patina,"Smooth, copperish colour",3 x 2,,Bronze,,Well preserved.,,,Joellen McGann,https://farm8.staticflickr.com/7778/18154756410_0ded0a8706_z.jpg,https://farm8.staticflickr.com/7778/18154756410_0ded0a8706_b.jpg,https://www.flickr.com/photos/115096994@N02/18154756410,superuser,ForeignTools
BAI-40323,433,Knife,,,,Bronze Age,p0gjgrs6qb2,,"Brentford Public Library,Layton Collection, 01269",1269,,Museum of London,"Switzerland(?),Lake Dwelling type",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,240,blade 19; socket 18.25,,,Brownish patina,Slightly encrusted with mud + oxide.,blade 5.5; socket 17.25,,,,,,,Joellen McGann,https://farm9.staticflickr.com/8775/18342484925_1e0f42d512_z.jpg,https://farm9.staticflickr.com/8775/18342484925_1e0f42d512_b.jpg,https://www.flickr.com/photos/115096994@N02/18342484925,superuser,ForeignTools
BAI-40322,433,Knife,,,,Bronze Age,p0gjgrs6qb2,,"Brentford Public Library,Layton Collection, 01265",1265,,Museum of London,"Switzerland (?),Lake Dwelling type",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,185.5,blade 17,,,,"Mostly dark bronze, + golden brown.",blade 5.5,,,,The blade is hollow ground from about the middle to the broad end.,,,Joellen McGann,https://farm9.staticflickr.com/8779/18342485745_2abdc3dd5a_z.jpg,https://farm9.staticflickr.com/8779/18342485745_2abdc3dd5a_b.jpg,https://www.flickr.com/photos/115096994@N02/18342485745,superuser,ForeignTools
BAI-40300,433,Pin,,,,Bronze Age,p0gjgrs6qb2,,"Brentford Public Library,Layton Collection, 1547",1547,,Museum of London,"Switzerland,Swiss Lake Dwelling",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,270; diameter of head 12,,,,"Green patina, much decayed",,,,,,,,,Joellen McGann,https://farm8.staticflickr.com/7755/18316046736_6ae316677f_z.jpg,https://farm8.staticflickr.com/7755/18316046736_6ae316677f_b.jpg,https://www.flickr.com/photos/115096994@N02/18316046736,superuser,ForeignTools
BAI-40299,433,Pin,,,,Bronze Age,p0gjgrs6qb2,,"Brentford Public Library,Layton Collection, 1550",1550,,Museum of London,"Switzerland,Swiss Lake Dwellings",,,,,,Switzerland,,Switzerland,46.7985624,8.2319736,,,,,154,diameter of head 12,,,Brown patina,,,,,,,,,Joellen McGann,https://farm8.staticflickr.com/7748/18156291609_f3d2e69bd6_z.jpg,https://farm8.staticflickr.com/7748/18156291609_f3d2e69bd6_b.jpg,https://www.flickr.com/photos/115096994@N02/18156291609,superuser,ForeignTools
